Ingreso,Ingreso específico,Valor,Código de entidad,Código de sector,Sector,Entidad,Año,Ingreso_alt,IPC,Valor_25
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,18991000000.0,1520.0,15.0,Defensa y policía,Agencia logística de las fuerzas militares,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,34396871328.7256
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,38463300000.0,1702.0,17.0,Agricultura y desarrollo rural,Instituto colombiano agropecuario (ica),2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,69665482648.52675
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE OTRAS ENTIDADES,2000000000.0,1702.0,17.0,Agricultura y desarrollo rural,Instituto colombiano agropecuario (ica),2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,3622439190.008488
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,27414000000.0,1702.0,17.0,Agricultura y desarrollo rural,Instituto colombiano agropecuario (ica),2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,49652773977.44635
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,55000000.0,1713.0,17.0,Agricultura y desarrollo rural,Incoder,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,99617077.72523344
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,1397000000.0,1713.0,17.0,Agricultura y desarrollo rural,Incoder,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,2530273774.220929
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,27606196999.0,1713.0,17.0,Agricultura y desarrollo rural,Incoder,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,50000884948.13616
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,2732300000.0,1715.0,17.0,Agricultura y desarrollo rural,Autoridad nacional de acuicultura y pesca - aunap,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,4948795299.430097
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,488800000.0,1715.0,17.0,Agricultura y desarrollo rural,Autoridad nacional de acuicultura y pesca - aunap,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,885324138.0380746
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,2855564000.0,1903.0,19.0,Salud y protección social,Instituto nacional de salud (ins),2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,5172053471.588699
